seed,file,name_presence,location_presence,rating_presence,price_presence,duration_presence,all5_presence
43,tourist_html/getyourguide-1354.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0661.html,100,100,100,100,100,100
43,tourist_html/klook-0062.html,100,100,100,100,100,100
43,tourist_html/traveloka-1516.html,100,100,100,100,100,100
43,tourist_html/viator-1398.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0864.html,100,100,100,100,100,100
43,tourist_html/viator-0381.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1049.html,100,100,100,100,100,100
43,tourist_html/tourradar-1941.html,100,0,100,100,100,0
43,tourist_html/traveloka-1745.html,100,100,100,100,100,100
43,tourist_html/tourradar-1236.html,100,0,100,100,100,0
43,tourist_html/getyourguide-0168.html,100,100,100,100,100,100
43,tourist_html/klook-1273.html,100,100,100,100,100,100
43,tourist_html/tourradar-1887.html,100,0,100,100,100,0
43,tourist_html/getyourguide-0960.html,100,100,100,100,100,100
43,tourist_html/klook-2019.html,100,100,100,100,100,100
43,tourist_html/viator-1558.html,100,100,100,100,100,100
43,tourist_html/klook-0317.html,100,100,100,100,100,100
43,tourist_html/viator-1106.html,100,100,100,100,100,100
43,tourist_html/traveloka-1193.html,100,100,100,100,100,100
43,tourist_html/traveloka-1301.html,100,100,100,100,100,100
43,tourist_html/traveloka-1676.html,100,100,100,100,100,100
43,tourist_html/viator-0558.html,100,100,100,100,100,100
43,tourist_html/viator-0262.html,100,100,100,100,100,100
43,tourist_html/klook-1498.html,100,100,0,100,100,0
43,tourist_html/getyourguide-1751.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1723.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1671.html,100,100,100,100,0,0
43,tourist_html/viator-1414.html,100,100,100,100,100,100
43,tourist_html/traveloka-0230.html,100,100,100,100,100,100
43,tourist_html/tourradar-1583.html,100,0,100,100,100,0
43,tourist_html/tourradar-1413.html,100,0,100,100,100,0
43,tourist_html/getyourguide-0949.html,100,100,100,100,0,0
43,tourist_html/getyourguide-0203.html,100,100,100,100,100,100
43,tourist_html/traveloka-1277.html,100,100,100,100,100,100
43,tourist_html/traveloka-0805.html,100,100,100,100,100,100
43,tourist_html/viator-0292.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0249.html,100,100,100,100,0,0
43,tourist_html/tourradar-0989.html,100,0,100,100,100,0
43,tourist_html/klook-0589.html,100,100,100,100,0,0
43,tourist_html/traveloka-0711.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1132.html,100,100,100,100,100,100
43,tourist_html/viator-1527.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1894.html,100,100,100,100,0,0
43,tourist_html/getyourguide-1609.html,100,100,100,100,100,100
43,tourist_html/traveloka-0473.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0988.html,100,100,100,100,100,100
43,tourist_html/viator-1450.html,100,100,100,100,100,100
43,tourist_html/tourradar-0410.html,100,0,100,100,100,0
43,tourist_html/tourradar-1788.html,100,0,100,100,100,0
43,tourist_html/viator-1401.html,100,100,100,100,100,100
43,tourist_html/traveloka-0485.html,100,100,100,100,100,100
43,tourist_html/traveloka-1987.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1665.html,100,100,100,100,100,100
43,tourist_html/klook-0685.html,100,100,100,100,0,0
43,tourist_html/viator-1594.html,100,100,100,100,100,100
43,tourist_html/tourradar-1743.html,100,0,100,100,100,0
43,tourist_html/traveloka-1690.html,100,100,100,100,100,100
43,tourist_html/viator-0747.html,100,100,100,100,100,100
43,tourist_html/traveloka-0171.html,100,100,100,100,100,100
43,tourist_html/tourradar-1981.html,100,100,100,100,100,100
43,tourist_html/traveloka-1509.html,100,100,100,100,100,100
43,tourist_html/klook-1444.html,100,100,100,100,0,0
43,tourist_html/tourradar-0544.html,100,100,100,100,100,100
43,tourist_html/klook-0308.html,100,100,100,100,100,100
43,tourist_html/viator-1112.html,100,100,100,100,100,100
43,tourist_html/tourradar-1155.html,100,0,100,100,100,0
43,tourist_html/traveloka-1201.html,100,100,100,100,100,100
