seed,file,name_presence,price_presence,material_presence,color_presence,size_presence,all5_presence
43,fashion_html/24s-1390.html,100,100,100,100,100,100
43,fashion_html/24s-1290.html,100,100,100,100,100,100
43,fashion_html/zara-0011.html,100,100,100,100,100,100
43,fashion_html/24s-1412.html,100,100,0,100,100,0
43,fashion_html/flannels-1939.html,100,100,0,100,100,0
43,fashion_html/zara-1119.html,100,100,100,100,0,0
43,fashion_html/24s-0845.html,100,100,100,100,100,100
43,fashion_html/farfetch-1949.html,100,100,100,100,100,100
43,fashion_html/zara-1797.html,100,100,100,100,100,100
43,fashion_html/flannels-0554.html,100,100,0,100,100,0
43,fashion_html/zara-0475.html,100,100,100,100,0,0
43,fashion_html/zara-1941.html,100,100,100,100,0,0
43,fashion_html/flannels-1407.html,100,100,0,100,100,0
43,fashion_html/24s-1733.html,100,100,100,100,100,100
43,fashion_html/zara-1368.html,100,100,100,100,100,100
43,fashion_html/farfetch-0267.html,100,100,100,100,100,100
43,fashion_html/flannels-0638.html,100,100,100,100,100,100
43,fashion_html/zara-1554.html,100,100,100,100,100,100
43,fashion_html/flannels-0348.html,100,100,0,100,100,0
43,fashion_html/24s-1346.html,100,100,100,100,100,100
43,fashion_html/flannels-1886.html,100,100,0,100,100,0
43,fashion_html/24s-2061.html,100,100,100,100,100,100
43,fashion_html/zara-1391.html,100,100,100,100,0,0
43,fashion_html/hm-0931.html,100,100,100,100,100,100
43,fashion_html/24s-0360.html,100,100,100,100,100,100
43,fashion_html/farfetch-1265.html,100,100,100,100,100,100
43,fashion_html/farfetch-1808.html,100,100,100,100,0,0
43,fashion_html/zara-0668.html,100,100,100,100,100,100
43,fashion_html/zara-0452.html,100,100,100,100,0,0
43,fashion_html/zara-1510.html,100,100,100,100,100,100
43,fashion_html/flannels-1800.html,100,100,100,100,100,100
43,fashion_html/24s-0081.html,100,100,0,100,100,0
43,fashion_html/farfetch-1558.html,100,100,100,100,100,100
43,fashion_html/flannels-1467.html,100,100,100,100,100,100
43,fashion_html/farfetch-0126.html,100,100,100,100,100,100
43,fashion_html/24s-1525.html,100,100,100,100,0,0
43,fashion_html/hm-1476.html,100,100,100,100,100,100
43,fashion_html/hm-0550.html,100,100,100,100,0,0
43,fashion_html/farfetch-1497.html,100,100,100,100,100,100
43,fashion_html/24s-0899.html,100,100,100,100,100,100
43,fashion_html/farfetch-1382.html,100,100,100,100,100,100
43,fashion_html/hm-1241.html,100,100,0,100,0,0
43,fashion_html/24s-1385.html,100,100,100,100,100,100
43,fashion_html/flannels-0726.html,100,100,100,100,100,100
43,fashion_html/24s-0679.html,100,100,100,100,100,100
43,fashion_html/flannels-1108.html,100,100,100,100,100,100
43,fashion_html/zara-1513.html,100,100,100,100,100,100
43,fashion_html/zara-0493.html,100,100,100,100,0,0
43,fashion_html/flannels-0002.html,100,100,100,100,100,100
43,fashion_html/24s-1103.html,100,100,100,100,0,0
43,fashion_html/flannels-1217.html,100,100,100,100,100,100
43,fashion_html/flannels-0576.html,100,100,100,100,100,100
43,fashion_html/flannels-0070.html,100,100,100,100,100,100
43,fashion_html/24s-0011.html,100,100,100,100,100,100
43,fashion_html/24s-2100.html,100,100,100,100,100,100
43,fashion_html/hm-1681.html,100,100,100,100,100,100
43,fashion_html/zara-0859.html,100,100,100,100,0,0
43,fashion_html/farfetch-0338.html,100,100,100,100,100,100
43,fashion_html/flannels-1588.html,100,100,0,100,100,0
43,fashion_html/farfetch-0179.html,100,100,100,100,100,100
43,fashion_html/farfetch-2036.html,100,100,100,100,100,100
43,fashion_html/24s-2237.html,100,100,100,100,100,100
43,fashion_html/farfetch-1884.html,100,100,100,100,100,100
43,fashion_html/zara-1940.html,100,100,100,100,100,100
43,fashion_html/zara-1954.html,100,100,100,100,0,0
43,fashion_html/farfetch-2144.html,100,100,100,100,100,100
43,fashion_html/farfetch-1113.html,100,100,100,100,100,100
43,fashion_html/hm-0402.html,100,100,100,100,100,100
43,fashion_html/flannels-0820.html,100,100,0,100,100,0
43,fashion_html/24s-2126.html,100,100,100,100,100,100
43,fashion_html/flannels-2118.html,100,100,100,100,100,100
43,fashion_html/hm-0109.html,100,100,100,100,100,100
43,fashion_html/flannels-1511.html,100,100,0,100,100,0
43,fashion_html/zara-1937.html,100,100,100,100,100,100
43,fashion_html/24s-1293.html,100,100,100,100,100,100
43,fashion_html/hm-0534.html,100,100,100,100,0,0
43,fashion_html/24s-0362.html,100,100,100,100,100,100
43,fashion_html/flannels-1283.html,100,100,0,100,100,0
43,fashion_html/farfetch-1708.html,100,100,100,100,0,0
43,fashion_html/zara-2085.html,100,100,100,100,0,0
43,fashion_html/flannels-1840.html,100,100,0,100,100,0
43,fashion_html/zara-0296.html,100,100,100,100,100,100
43,fashion_html/farfetch-2054.html,100,100,100,100,100,100
43,fashion_html/24s-0742.html,100,100,100,100,100,100
43,fashion_html/hm-1963.html,100,100,0,100,0,0
43,fashion_html/zara-1380.html,100,100,100,100,0,0
43,fashion_html/farfetch-1169.html,100,100,100,100,100,100
43,fashion_html/farfetch-0625.html,100,100,100,100,100,100
43,fashion_html/24s-1762.html,100,100,100,100,100,100
43,fashion_html/24s-0558.html,100,100,100,100,100,100
43,fashion_html/flannels-1097.html,100,100,100,100,100,100
43,fashion_html/flannels-0172.html,100,100,100,100,100,100
43,fashion_html/24s-0746.html,100,100,100,100,100,100
43,fashion_html/24s-1787.html,100,100,100,100,100,100
43,fashion_html/24s-1658.html,100,100,100,100,100,100
43,fashion_html/zara-0767.html,100,100,100,100,0,0
43,fashion_html/farfetch-0606.html,100,100,100,100,100,100
43,fashion_html/24s-1571.html,100,100,100,100,100,100
43,fashion_html/24s-0912.html,100,100,100,100,100,100
43,fashion_html/zara-1264.html,100,100,100,100,100,100
43,fashion_html/farfetch-0927.html,100,100,100,100,100,100
43,fashion_html/hm-1119.html,100,100,0,100,0,0
43,fashion_html/hm-1156.html,100,100,0,100,0,0
43,fashion_html/flannels-1152.html,100,100,0,100,100,0
43,fashion_html/24s-2119.html,100,100,100,100,100,100
43,fashion_html/zara-1977.html,100,100,100,100,100,100
43,fashion_html/zara-1976.html,100,100,100,100,100,100
43,fashion_html/zara-2096.html,100,100,100,100,0,0
43,fashion_html/hm-1389.html,100,100,100,100,0,0
43,fashion_html/24s-0130.html,100,100,100,100,100,100
43,fashion_html/zara-0210.html,100,100,100,100,100,100
43,fashion_html/hm-0443.html,100,100,100,100,0,0
43,fashion_html/flannels-0127.html,100,100,100,100,100,100
43,fashion_html/farfetch-0748.html,100,100,100,100,100,100
43,fashion_html/hm-0679.html,100,100,100,100,0,0
43,fashion_html/flannels-0300.html,100,100,100,100,100,100
43,fashion_html/hm-0321.html,100,100,100,100,0,0
43,fashion_html/24s-2253.html,100,100,100,100,100,100
43,fashion_html/farfetch-1231.html,100,100,100,100,0,0
43,fashion_html/24s-1271.html,100,100,100,100,0,0
43,fashion_html/flannels-1555.html,100,100,0,100,100,0
43,fashion_html/hm-1266.html,100,100,0,100,0,0
43,fashion_html/24s-0871.html,100,100,100,100,100,100
43,fashion_html/farfetch-0968.html,100,100,100,100,100,100
43,fashion_html/farfetch-0282.html,100,100,100,100,100,100
43,fashion_html/hm-1441.html,100,100,100,100,0,0
43,fashion_html/hm-0413.html,100,100,100,100,100,100
43,fashion_html/flannels-0515.html,100,100,100,100,100,100
43,fashion_html/zara-0209.html,100,100,100,100,100,100
43,fashion_html/zara-0045.html,100,100,100,100,0,0
43,fashion_html/farfetch-1604.html,100,100,100,100,100,100
43,fashion_html/farfetch-1532.html,100,100,100,100,100,100
43,fashion_html/flannels-1061.html,100,100,100,100,100,100
