seed,file,name_presence,location_presence,price_presence,rating_presence,amenities_presence,all5_presence
44,hotels_html/trip-0262.html,100,100,100,100,100,100
44,hotels_html/kayak-0661.html,100,100,0,100,100,0
44,hotels_html/trip-1869.html,100,100,100,100,100,100
44,hotels_html/kayak-1437.html,100,100,0,100,100,0
44,hotels_html/booking-1768.html,100,100,0,100,100,0
44,hotels_html/hotel-0970.html,100,100,0,100,100,0
44,hotels_html/kayak-1306.html,100,100,100,100,100,100
44,hotels_html/hotel-1395.html,100,100,100,100,100,100
44,hotels_html/trip-1306.html,100,100,100,100,100,100
44,hotels_html/trip-0089.html,100,100,100,100,100,100
44,hotels_html/kayak-0056.html,100,100,0,100,100,0
44,hotels_html/hotel-0992.html,100,100,100,100,100,100
44,hotels_html/hotel-1592.html,100,100,100,100,100,100
44,hotels_html/kayak-1159.html,100,100,0,100,100,0
44,hotels_html/agoda-1009.html,100,100,100,100,100,100
44,hotels_html/hotel-0499.html,100,100,0,100,100,0
44,hotels_html/booking-1912.html,100,100,0,100,100,0
44,hotels_html/hotel-1879.html,100,100,0,100,100,0
44,hotels_html/hotel-0208.html,100,100,100,100,100,100
44,hotels_html/trip-1674.html,100,100,100,100,100,100
44,hotels_html/hotel-1155.html,100,100,100,100,100,100
44,hotels_html/hotel-0815.html,100,100,100,100,100,100
44,hotels_html/booking-1728.html,100,100,0,100,100,0
44,hotels_html/trip-1108.html,100,100,100,100,100,100
44,hotels_html/agoda-0476.html,100,100,0,100,100,0
44,hotels_html/kayak-1726.html,100,100,0,100,100,0
44,hotels_html/trip-1615.html,100,100,100,100,100,100
44,hotels_html/kayak-1577.html,100,100,0,100,100,0
44,hotels_html/trip-0069.html,100,100,100,100,100,100
44,hotels_html/trip-0381.html,100,100,0,100,100,0
44,hotels_html/agoda-1037.html,100,100,100,100,100,100
44,hotels_html/agoda-1450.html,100,100,0,100,100,0
44,hotels_html/kayak-0673.html,100,100,100,100,100,100
44,hotels_html/trip-1055.html,100,100,0,100,100,0
44,hotels_html/agoda-1768.html,100,100,100,100,100,100
44,hotels_html/trip-1714.html,100,100,100,100,100,100
44,hotels_html/agoda-0920.html,100,100,0,100,100,0
44,hotels_html/hotel-1357.html,100,100,0,100,100,0
44,hotels_html/hotel-1087.html,100,100,100,100,100,100
44,hotels_html/hotel-1687.html,100,100,100,100,100,100
44,hotels_html/booking-1329.html,100,100,0,100,100,0
44,hotels_html/agoda-0044.html,100,100,100,100,100,100
44,hotels_html/kayak-1154.html,100,100,100,100,100,100
44,hotels_html/hotel-0868.html,100,100,100,0,100,0
44,hotels_html/kayak-1087.html,100,100,0,100,100,0
44,hotels_html/agoda-0902.html,100,100,0,100,100,0
44,hotels_html/trip-0214.html,100,100,100,100,100,100
44,hotels_html/booking-0789.html,100,100,0,100,100,0
44,hotels_html/agoda-1235.html,100,100,0,100,100,0
44,hotels_html/agoda-1328.html,100,100,0,100,100,0
44,hotels_html/trip-0603.html,100,100,100,100,100,100
44,hotels_html/hotel-0845.html,100,100,100,100,100,100
44,hotels_html/trip-1719.html,100,100,0,100,100,0
44,hotels_html/trip-1387.html,100,100,100,100,100,100
44,hotels_html/agoda-0374.html,100,100,0,100,100,0
44,hotels_html/trip-1562.html,100,100,100,100,100,100
44,hotels_html/booking-1482.html,100,100,0,100,100,0
44,hotels_html/hotel-0388.html,100,100,100,100,100,100
44,hotels_html/booking-0480.html,100,100,0,100,100,0
44,hotels_html/booking-1818.html,100,100,0,100,100,0
44,hotels_html/kayak-1048.html,100,100,0,100,100,0
44,hotels_html/trip-0555.html,100,100,100,100,100,100
44,hotels_html/hotel-1594.html,100,100,100,0,100,0
44,hotels_html/hotel-0235.html,100,100,100,0,100,0
44,hotels_html/kayak-0595.html,100,100,100,100,100,100
44,hotels_html/booking-0129.html,100,100,0,100,100,0
44,hotels_html/booking-2091.html,100,100,0,100,100,0
44,hotels_html/trip-1312.html,100,100,100,100,100,100
44,hotels_html/hotel-2081.html,100,100,100,0,100,0
44,hotels_html/agoda-1048.html,100,100,100,100,100,100
44,hotels_html/trip-0463.html,100,100,100,100,100,100
44,hotels_html/agoda-1744.html,100,100,0,100,100,0
44,hotels_html/booking-0569.html,100,100,0,100,100,0
44,hotels_html/agoda-0775.html,100,100,100,100,100,100
44,hotels_html/hotel-1105.html,100,100,100,100,100,100
44,hotels_html/hotel-1649.html,100,100,100,100,100,100
44,hotels_html/trip-0579.html,100,100,100,100,100,100
44,hotels_html/kayak-0751.html,100,100,0,100,100,0
44,hotels_html/trip-1479.html,100,100,100,100,100,100
44,hotels_html/kayak-1255.html,100,100,100,100,100,100
44,hotels_html/hotel-0280.html,100,100,100,100,100,100
44,hotels_html/kayak-1599.html,100,100,0,100,100,0
44,hotels_html/hotel-0895.html,100,100,100,100,100,100
44,hotels_html/trip-1710.html,100,100,100,100,100,100
44,hotels_html/hotel-0164.html,100,100,100,100,100,100
44,hotels_html/agoda-0423.html,100,100,0,100,100,0
44,hotels_html/kayak-0514.html,100,100,100,100,100,100
